	Average Q-Score in Barcode Region	Percent Barcodes Identified	Total Barcodes Identified	Total Seqs Processed
599-He	32.79	81.79	31424	38421
599-Ke	32.89	77.96	13424	17219
599-Km	33.05	81.36	28231	34697
599-Le	33.01	78.37	31583	40299
599-Lm	33.27	80.51	34387	42712
599-Ve	32.69	76.82	14096	18349
599-Vh	32.88	77.44	20605	26606
599-Vk	32.86	77.25	73754	95476
600-He	33.31	79.16	91458	115542
600-Ke	33.15	77.29	19486	25210
600-Km	33.17	77.33	61524	79563
600-Le	33.38	78.06	19478	24952
600-Lm	33.45	80.33	16830	20950
600-Ve	33.15	78.04	27427	35144
600-Vh	33.27	79.26	125271	158043
600-Vk	33.02	78.11	135819	173878
601-He	33.2	79.65	63236	79389
601-Ke	33.29	79.45	56323	70891
601-Km	33.29	80.59	68256	84692
601-Le	33.38	79.18	28991	36613
601-Lm	32.49	73.55	178	242
601-Ve	33.2	78.55	35002	44562
601-Vh	33.32	79.34	110940	139827
601-Vk	33.23	79.32	128552	162074
602-He	33.39	81.04	89731	110722
602-Ke	33.48	81.27	79622	97971
602-Km	33.48	81.17	110655	136330
602-Le	33.07	79.25	41945	52927
602-Lm	33.41	80.47	37738	46899
602-Ve	33.28	78.82	69623	88327
602-Vh	33.47	80.45	96552	120020
602-Vk	32.32	73.22	15896	21709
603-He	32.92	77.13	81239	105324
603-Ke	32.63	76.86	30262	39374
603-Km	32.96	77.71	85573	110112
603-Le	33.47	78.81	25123	31878
603-Lm	33.71	81.58	13366	16383
603-Ve	32.96	78.75	103525	131465
603-Vh	32.36	72.89	19163	26292
603-Vk	33.0	79.56	113617	142806
604-He	33.39	79.92	169635	212252
604-Ke	33.05	78.36	7889	10068
604-Km	33.43	79.02	62658	79291
604-Le	33.2	78.49	66145	84270
604-Lm	31.97	73.54	478	650
604-Ve	33.35	80.64	116010	143858
604-Vh	33.16	82.24	128256	155956
604-Vk	33.15	78.52	45607	58086
605-He	33.01	81.0	51412	63472
605-Ke	33.01	78.0	28090	36012
605-Km	32.91	75.15	11714	15588
605-Le	32.51	77.21	1626	2106
605-Lm	32.09	74.12	401	541
605-Ve	33.13	79.17	71358	90127
605-Vh	33.07	79.4	35856	45161
605-Vk	33.03	79.2	106184	134066
606-He	33.36	79.73	116421	146021
606-Ke	33.41	79.53	54083	68003
606-Km	33.29	79.49	84776	106653
606-Le	33.18	79.95	157525	197038
606-Lm	33.49	79.36	134684	169705
606-Ve	33.34	80.51	64394	79985
606-Vh	33.32	79.27	73451	92656
606-Vk	32.57	76.34	28691	37583
INPUT-Ad	32.28	70.16	1498	2135
INPUT-Bd	32.13	72.48	1380	1904
INPUT-Cd	31.89	65.19	2332	3577
